id,city,district,road,community,price,rentalMethod,houseType,roomType,areaSize,decorateType,ori,floorInfo,hasRefrigerator,hasWashingMachine,hasBalcony,hasCook,hasAirConditioner,hasWaterHeater,hasBed,hasWardrobe,hasSofa,hasWifi,traffic,bedroomNum,bathroomNum,hallsNum
"27","武汉","洪山","光谷东","光谷澎湃城奥山府","2500","整租","普通住宅","3室2厅2卫","118.9","简单装修","朝南","低层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2"
"28","武汉","洪山","光谷广场","加州阳光","3100","整租","普通住宅","3室2厅1卫","103","精装修","朝南","高层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","1","2"
"29","武汉","武昌","南湖花园","景虹花园(二期)","600","合租","普通住宅","3室1厅2卫","20.5","精装修","朝南","低层(共22层)","1","1","1","1","1","1","1","1","1","1","7号线","3","2","1"
"30","武汉","洪山","光谷软件园","曙光星城C区","800","合租","普通住宅","4室1厅2卫","18","精装修","朝南","高层(共36层)","0","1","0","0","1","1","1","1","0","1",\N,"4","2","1"
"31","武汉","洪山","光谷软件园","曙光星城B区","700","合租","普通住宅","3室1厅1卫","20","精装修","朝南","中层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","1"
"32","武汉","洪山","光谷软件园","立信公寓","1000","合租","普通住宅","1室1厅1卫","89.2","简单装修","朝南","中层(共7层)","1","1","1","1","1","1","1","1","1","1",\N,"1","1","1"
"33","武汉","洪山","关山","丽岛漫城","700","合租","普通住宅","4室1厅2卫","15","精装修","朝南","低层(共16层)","1","1","1","1","1","1","1","1","1","1",\N,"4","2","1"
"34","武汉","武昌","南湖花园","景虹花园(二期)","600","合租","普通住宅","3室1厅2卫","20.5","精装修","朝南","低层(共22层)","1","1","1","1","1","1","1","1","1","1","7号线","3","2","1"
"35","武汉","洪山","关山","琨瑜府(三期)","4500","整租","普通住宅","3室2厅2卫","105","精装修","朝南","中层(共58层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","2"
"36","武汉","洪山","白沙洲","胜利丰园","1800","整租","普通住宅","2室1厅1卫","88","精装修","朝南","高层(共33层)","1","1","1","1","1","1","1","1","1","1","5号线","2","1","1"
"37","武汉","洪山","光谷软件园","光谷坐标城","3200","整租","其他","3室2厅1卫","108.9","简单装修","朝南","中层(共8层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","2"
"38","武汉","洪山","关山","保利时代(北区)","3300","整租","普通住宅","3室2厅2卫","119.1","精装修","南北","低层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2"
"39","武汉","洪山","新南湖","保利公园九里(1-4期)","2500","整租","普通住宅","2室1厅1卫","79","精装修","朝南","高层(共33层)","1","1","1","1","1","1","1","1","1","1","7号线","2","1","1"
"40","武汉","洪山","白沙洲","烽火馨德紫园","550","合租","普通住宅","2室1厅1卫","18.7","精装修","朝南","低层(共27层)","1","1","1","1","1","1","1","1","1","1","5号线","2","1","1"
"41","武汉","洪山","关山","光谷青年城(一期)","1500","整租","普通住宅","1室0厅1卫","45","精装修","南北","中层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"1","1","0"
"42","武汉","洪山","鲁巷","华科大康园教师住宅小区","700","合租","普通住宅","2室1厅1卫","20","精装修","朝南","高层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","2","1","1"
"43","武汉","洪山","光谷软件园","金地格林东郡","2600","整租","普通住宅","2室1厅1卫","70","精装修","朝南","中层(共36层)","0","0","0","0","0","0","0","0","0","0",\N,"2","1","1"
"44","武汉","武昌","中南路","凯乐花园","799","合租","普通住宅","2室1厅1卫","28","精装修","朝南","高层(共22层)","1","1","1","1","1","1","1","1","1","1","2/4/7号线","2","1","1"
"45","武汉","洪山","白沙洲","喜瑞都","2400","整租","普通住宅","3室2厅1卫","153.6","精装修","朝南","低层(共34层)","1","1","1","1","1","1","1","1","1","1","5号线","3","1","2"
"46","武汉","沌口开发区","金色港湾","金色港湾(蔡甸)","650","合租","普通住宅","3室1厅2卫","25","精装修","朝南","低层(共6层)","1","1","1","1","1","1","1","1","1","1","3号线","3","2","1"
"47","武汉","洪山","白沙洲","天地源城际花园(东区)","820","合租","普通住宅","3室1厅1卫","20","精装修","朝南","高层(共11层)","1","1","1","1","1","1","1","1","0","1",\N,"3","1","1"
"48","武汉","洪山","光谷东","国采光立方","930","合租","普通住宅","3室1厅1卫","12","精装修","朝南","中层(共17层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","1"
"49","武汉","洪山","白沙洲","毛坦港湾(B区)","850","合租","普通住宅","3室1厅2卫","18","精装修","朝南","低层(共31层)","1","1","1","1","1","1","1","1","1","1","5号线","3","2","1"
"50","武汉","硚口","硚口周边","华润翡翠城(二期)","660","合租","普通住宅","3室1厅1卫","16","精装修","朝南","高层(共52层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","1"
"51","武汉","洪山","光谷软件园","万科城花璟苑","2100","整租","普通住宅","1室1厅1卫","40","精装修","朝南","中层(共32层)","1","1","1","1","1","1","1","1","1","1",\N,"1","1","1"
"52","武汉","洪山","新南湖","珞珈雅苑","500","合租","普通住宅","3室2厅2卫","26","精装修","朝南","低层(共18层)","1","1","1","1","1","1","1","1","1","1","8号线","3","2","2"
"53","武汉","江夏","金融港","谷尚居","2450","整租","普通住宅","3室2厅2卫","99","精装修","南北","低层(共18层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","2"
"54","武汉","洪山","新南湖","金地圣爱米伦","600","合租","普通住宅","2室1厅1卫","25.3","精装修","朝南","低层(共12层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","1"
"55","武汉","洪山","光谷软件园","江南家园谓语城","3000","整租","普通住宅","3室2厅1卫","108.7","精装修","南北","高层(共6层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","2"
"56","武汉","洪山","鲁巷","华科大康园教师住宅小区","2800","整租","普通住宅","2室1厅1卫","88","精装修","朝南","高层(共31层)","1","1","1","1","1","1","1","1","1","1","2号线","2","1","1"
"57","武汉","洪山","光谷东","新城璞樾门第","2800","整租","普通住宅","3室2厅2卫","108.6","精装修","南北","高层(共32层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2"
"58","武汉","洪山","光谷软件园","光谷理想城","2650","整租","普通住宅","2室1厅1卫","80","精装修","南北","高层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","2","1","1"
"59","武汉","洪山","关山","花城家园棠园","1500","整租","普通住宅","2室1厅1卫","80","精装修","南北","高层(共18层)","1","1","1","1","1","1","1","1","1","0",\N,"2","1","1"
"60","武汉","洪山","白沙洲","毛坦港湾A区","1700","整租","普通住宅","2室2厅1卫","91","精装修","南北","中层(共34层)","1","1","1","1","1","1","1","1","1","0","5号线","2","1","2"
"61","武汉","洪山","新南湖","红旗欣居B区","750","合租","普通住宅","3室2厅1卫","25","精装修","朝南","低层(共15层)","1","1","1","1","1","1","1","1","1","1","7号线","3","1","2"
"62","武汉","武昌","中北路","天源城","1200","合租","普通住宅","4室1厅3卫","28","精装修","朝南","高层(共11层)","1","1","1","1","1","1","1","1","1","1","4/8号线","4","3","1"
"63","武汉","洪山","珞狮南路","大华南湖公园世家中区","2800","整租","普通住宅","3室1厅2卫","133","精装修","朝南","低层(共20层)","1","1","1","1","1","1","1","1","1","1","8号线","3","2","1"
"64","武汉","江岸","百步亭","汉悦府坤璟","830","合租","公寓","3室2厅1卫","16","精装修","朝南","低层(共33层)","1","1","1","1","1","1","1","1","1","1","3/阳逻号线","3","1","2"
"65","武汉","洪山","光谷软件园","万科城花璟苑","2100","整租","普通住宅","1室1厅1卫","40","精装修","朝南","中层(共32层)","1","1","1","1","1","1","1","1","1","1",\N,"1","1","1"
"66","武汉","洪山","新南湖","明泽丰华苑(21-26栋)","550","合租","其他","3室2厅2卫","28","精装修","朝南","高层(共26层)","1","1","1","1","1","1","1","1","1","1","8号线","3","2","2"
"67","武汉","洪山","光谷东","光谷188国际社区","2900","整租","普通住宅","3室2厅2卫","134.6","精装修","朝南","高层(共33层)","1","1","1","1","1","1","1","1","1","1","11号线","3","2","2"
"68","武汉","洪山","新南湖","珞珈雅苑","500","合租","普通住宅","3室2厅2卫","26","精装修","朝南","低层(共18层)","1","1","1","1","1","1","1","1","1","1","8号线","3","2","2"
"69","武汉","洪山","关山","保利时代(南区)","3500","整租","普通住宅","2室2厅1卫","71","精装修","南北","中层(共32层)","1","1","1","1","1","1","1","1","1","0",\N,"2","1","2"
"70","武汉","洪山","新南湖","明泽丰华苑(7-14栋)","1400","整租","普通住宅","1室1厅1卫","65","精装修","南北","中层(共28层)","1","1","1","1","1","1","1","1","1","0","8号线","1","1","1"
"71","武汉","洪山","关山","世界城香榭丽舍","3100","整租","普通住宅","3室2厅1卫","114","精装修","朝南","中层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","1","2"
"72","武汉","洪山","珞狮南路","南湖狮山美庐","500","合租","普通住宅","3室2厅2卫","28","精装修","朝南","中层(共28层)","1","1","1","1","1","1","1","1","1","1","8号线","3","2","2"
"73","武汉","洪山","铁机路","东沙花园(北区)","640","合租","普通住宅","3室1厅1卫","25","精装修","朝南","高层(共35层)","1","1","1","1","1","1","1","1","1","1","4号线","3","1","1"
"74","武汉","洪山","光谷软件园","光谷理想城","2650","整租","普通住宅","2室1厅1卫","80","精装修","南北","高层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","2","1","1"
"75","武汉","洪山","关山","泛悦城","900","合租","普通住宅","3室1厅2卫","20","豪华装修","朝南","低层(共23层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","1"
"76","武汉","洪山","卓刀泉","名都花园","750","合租","普通住宅","3室2厅2卫","15","精装修","朝南","中层(共16层)","0","0","1","0","1","0","1","1","0","0","2号线","3","2","2"
"77","武汉","洪山","珞狮南路","金地格林小城美茵区","500","合租","普通住宅","1室1厅1卫","25","精装修","南北","中层(共6层)","1","1","1","1","1","1","1","1","1","1","8号线","1","1","1"
"78","武汉","洪山","光谷软件园","中建大公馆","3200","整租","普通住宅","3室2厅1卫","80","精装修","朝南","低层(共47层)","0","0","0","0","0","0","0","0","0","0",\N,"3","1","2"
"79","武汉","江岸","后湖","美联城仕","990","合租","普通住宅","3室1厅1卫","18","精装修","朝南","中层(共32层)","1","1","1","1","1","1","1","1","1","1","8号线","3","1","1"
"80","武汉","汉阳","四新","四新天祥广场","1500","整租","普通住宅","1室1厅1卫","97.4","精装修","朝南","中层(共35层)","1","1","1","1","1","1","1","1","1","1",\N,"1","1","1"
"81","武汉","洪山","光谷软件园","关南社区","2450","整租","普通住宅","2室1厅1卫","80","精装修","南北","低层(共6层)","1","1","0","1","1","1","1","1","0","0","2/11号线","2","1","1"
"82","武汉","江岸","后湖","塔子湖锦绣家园幽兰苑","1060","合租","普通住宅","3室1厅2卫","14","精装修","朝南","低层(共31层)","0","0","0","0","1","1","1","0","0","0","8号线","3","2","1"
"83","武汉","洪山","关山","花城家园樱园","1500","整租","普通住宅","3室2厅1卫","100","精装修","朝南","中层(共18层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","2"
"84","武汉","洪山","光谷软件园","光谷坐标城","3200","整租","普通住宅","3室2厅2卫","108","精装修","朝南","中层(共31层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2"
"85","武汉","洪山","铁机路","东湖景园A区","600","合租","普通住宅","4室1厅1卫","25","精装修","朝南","高层(共34层)","1","1","1","1","1","1","1","1","1","1","4号线","4","1","1"
"86","武汉","洪山","珞瑜东路","成园小区","1450","整租","其他","1室1厅1卫","50","精装修","朝南","低层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","1","1","1"
"87","武汉","汉阳","王家湾","磨山港湾2期","1400","整租","其他","1室1厅1卫","50","精装修","朝南","中层(共38层)","1","1","1","1","1","1","1","1","1","1","3/4号线","1","1","1"
"88","武汉","洪山","光谷东","新城璞樾门第","2500","整租","普通住宅","3室2厅2卫","109","简单装修","朝南","低层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2"
"89","武汉","武昌","丁字桥","百瑞景中央生活区(六期)","850","合租","普通住宅","3室1厅1卫","20","精装修","朝南","高层(共34层)","1","1","1","1","1","1","1","1","1","1","2号线","3","1","1"
"90","武汉","洪山","新南湖","保利心语(一期)","600","合租","普通住宅","2室1厅1卫","24","精装修","朝南","低层(共22层)","1","1","1","1","1","1","1","1","1","1","8号线","2","1","1"
"91","武汉","洪山","光谷软件园","光谷理想城","700","合租","普通住宅","3室0厅2卫","20","精装修","朝南","中层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","0"
"92","武汉","江夏","东湖高新","天纵水晶郦都","1800","整租","普通住宅","1室1厅1卫","40","精装修","朝南","低层(共20层)","1","1","1","1","1","1","1","1","1","1","2号线","1","1","1"
"93","武汉","洪山","光谷软件园","曙光星城B区","2300","整租","普通住宅","2室2厅1卫","80","精装修","朝南","低层(共32层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","2"
"94","武汉","江夏","流芳","中建东湖锦城","2700","整租","普通住宅","3室1厅1卫","81.3","精装修","朝南","高层(共34层)","0","0","0","0","0","0","0","0","0","0",\N,"3","1","1"
"95","武汉","江夏","东湖高新","达尚城","600","合租","普通住宅","3室2厅1卫","15","精装修","朝南","中层(共33层)","1","1","0","1","0","1","1","1","1","1",\N,"3","1","2"
"96","武汉","洪山","白沙洲","毛坦港湾A区","660","合租","普通住宅","3室2厅2卫","23","精装修","朝南","中层(共32层)","1","1","1","1","1","1","1","1","1","1","5号线","3","2","2"
"97","武汉","江岸","后湖","汉口花园淡莲轩","680","合租","普通住宅","3室1厅1卫","15","精装修","朝南","低层(共18层)","1","1","1","1","1","1","1","1","1","1","6/8号线","3","1","1"
"98","武汉","洪山","欢乐谷","铁机新居","699","合租","普通住宅","3室1厅1卫","22","精装修","朝南","低层(共30层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","1"
"99","武汉","洪山","光谷广场","加州阳光","500","合租","普通住宅","3室1厅2卫","23","精装修","朝南","高层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","1"
"100","武汉","洪山","白沙洲","毛坦港湾A区","660","合租","普通住宅","3室2厅2卫","23","精装修","朝南","中层(共32层)","1","1","1","1","1","1","1","1","1","1","5号线","3","2","2"
"101","武汉","洪山","光谷软件园","光谷理想城","700","合租","普通住宅","3室0厅2卫","20","精装修","朝南","中层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","0"
"102","武汉","洪山","铁机路","东沙花园(南区)","500","合租","普通住宅","2室1厅1卫","25","精装修","朝南","高层(共33层)","1","1","1","1","1","1","1","1","1","1","4/8号线","2","1","1"
"103","武汉","洪山","欢乐谷","铁机新居","1500","整租","普通住宅","2室1厅1卫","86","精装修","南北","中层(共28层)","1","1","1","1","1","1","1","1","1","0",\N,"2","1","1"
"104","武汉","江夏","东湖高新","天纵水晶郦都","1800","整租","普通住宅","1室1厅1卫","40","精装修","朝南","低层(共20层)","1","1","1","1","1","1","1","1","1","1","2号线","1","1","1"
"105","武汉","江汉","前进/江汉","江城华庭","600","合租","普通住宅","3室1厅2卫","21.2","精装修","南北","中层(共56层)","1","1","1","1","1","1","1","1","1","1","1/2/6号线","3","2","1"
"106","武汉","洪山","光谷广场","光谷青年城(二期)","2700","整租","普通住宅","2室2厅1卫","85","精装修","朝南","高层(共50层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","2"
"107","武汉","江汉","前进/江汉","都会轩","900","合租","普通住宅","3室1厅2卫","20","精装修","朝南","低层(共30层)","1","1","1","1","1","1","1","1","1","1","1/2/6号线","3","2","1"
"108","武汉","江夏","纸坊","富丽金澜湾","690","合租","普通住宅","3室1厅2卫","20","精装修","朝南","低层(共15层)","1","1","0","1","1","1","1","1","0","1",\N,"3","2","1"
"109","武汉","硚口","古田","永利新城北苑","600","合租","其他","4室1厅2卫","16","精装修","朝南","低层(共32层)","1","1","1","1","1","1","1","1","1","1","1号线","4","2","1"
"110","武汉","洪山","关山","金地阳光城(北苑)","1100","合租","普通住宅","2室1厅1卫","25","精装修","朝南","高层(共7层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","1"
"111","武汉","洪山","光谷软件园","山水华庭一期","700","合租","普通住宅","4室1厅2卫","21","精装修","南北","中层(共12层)","1","1","1","1","1","1","1","1","1","1",\N,"4","2","1"
"112","武汉","江汉","前进/江汉","富安公寓","800","合租","普通住宅","3室1厅2卫","19.8","精装修","朝南","高层(共15层)","1","1","1","1","1","1","1","1","1","1","1/2/6号线","3","2","1"
"113","武汉","武昌","团结大道","福星惠誉国际城三期K4","1190","合租","普通住宅","3室1厅1卫","16","精装修","朝南","中层(共45层)","1","1","0","1","1","1","1","1","0","1","8号线","3","1","1"
"114","武汉","洪山","光谷东","绿地国际理想城(五期)","1650","整租","普通住宅","2室1厅1卫","70","精装修","朝南","中层(共29层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","1"
"115","武汉","洪山","白沙洲","云隐城青","1550","整租","普通住宅","2室2厅1卫","88","精装修","南北","高层(共33层)","1","1","1","1","1","1","1","1","1","0","5号线","2","1","2"
"116","武汉","东西湖","吴家山","莲花湖小区1期","850","合租","普通住宅","4室1厅2卫","22","精装修","朝南","中层(共8层)","1","1","1","1","1","1","1","1","1","1",\N,"4","2","1"
"117","武汉","洪山","光谷广场","米兰映象","700","合租","普通住宅","3室1厅2卫","27","精装修","南北","高层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","1"
"118","武汉","汉阳","七里庙","汉桥城中花园A区","1800","整租","普通住宅","2室1厅2卫","89","精装修","朝南","高层(共33层)","1","1","1","1","1","1","1","1","1","1","4号线","2","2","1"
"119","武汉","洪山","新南湖","保利公园九里(5期)","3000","整租","普通住宅","3室2厅1卫","102.9","精装修","南北","中层(共33层)","1","1","1","1","1","1","1","1","1","1","7号线","3","1","2"
"120","武汉","洪山","光谷软件园","曙光星城B区","700","合租","普通住宅","2室2厅1卫","20","精装修","朝南","中层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","2"
"121","武汉","洪山","关山","泛悦城","5000","整租","普通住宅","3室2厅2卫","140.6","精装修","朝南","中层(共58层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","2"
"122","武汉","江岸","二七路","金岛御璟世家(一期)","830","合租","普通住宅","3室2厅1卫","15","精装修","朝南","高层(共33层)","1","1","0","1","1","1","1","1","1","1","3/8号线","3","1","2"
"123","武汉","洪山","铁机路","铁机盛世家园","700","合租","普通住宅","3室1厅2卫","25","精装修","朝南","中层(共28层)","1","1","0","1","0","1","0","0","1","1","4号线","3","2","1"
"124","武汉","洪山","新南湖","南湖名都B区","500","合租","普通住宅","3室1厅2卫","30","精装修","朝南","中层(共28层)","1","1","1","1","1","1","1","1","1","1","7号线","3","2","1"
"125","武汉","洪山","铁机路","徐东馨苑","500","合租","其他","3室1厅2卫","23","精装修","朝南","高层(共32层)","1","1","1","1","1","1","1","1","0","0","5/8号线","3","2","1"
"126","武汉","洪山","广埠屯","银海雅苑","2800","整租","普通住宅","2室1厅1卫","79","精装修","朝南","低层(共8层)","1","1","1","1","1","1","1","1","1","1","2/8号线","2","1","1"
"127","武汉","武昌","武昌火车站","大东门农行宿舍","1700","整租","普通住宅","1室1厅1卫","50","精装修","南北","高层(共8层)","1","1","1","1","1","1","1","1","1","1","4/7号线","1","1","1"
"128","武汉","洪山","关西","金地天悦睿府","2600","整租","普通住宅","2室1厅1卫","82.6","精装修","朝南","中层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","1"
"129","武汉","江汉","杨汊湖","江汉人家","830","合租","普通住宅","3室1厅1卫","15","精装修","朝南","中层(共32层)","1","1","1","1","1","1","1","1","1","1","6号线","3","1","1"
"130","武汉","黄陂","盘龙城","F、空港中心城","400","合租","普通住宅","4室1厅2卫","17","精装修","朝南","低层(共22层)","1","1","1","1","1","1","1","1","1","1","2/7号线","4","2","1"
"131","武汉","洪山","光谷广场","米兰映象","700","合租","普通住宅","3室2厅2卫","18","精装修","朝南","低层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","2"
"132","武汉","武昌","徐东","徐东城市广场","2200","整租","普通住宅","2室1厅1卫","90","精装修","朝南","中层(共32层)","1","1","1","1","1","1","1","1","1","1","5/8号线","2","1","1"
"133","武汉","洪山","光谷软件园","锦绣龙城(F区)","2700","整租","普通住宅","3室2厅2卫","118.5","精装修","朝南","高层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2"
"134","武汉","洪山","铁机路","武丰佳园(一期)","3000","整租","普通住宅","4室1厅2卫","138","精装修","朝南","低层(共21层)","1","1","1","1","1","1","1","1","1","1","4号线","4","2","1"
"135","武汉","青山","建设二路","新奥学府佳邻","2300","整租","普通住宅","2室2厅1卫","70","精装修","南北","高层(共11层)","1","1","1","1","1","1","1","1","1","0","5号线","2","1","2"
"136","武汉","武昌","杨园","馨都雅园","520","合租","普通住宅","4室1厅2卫","26","精装修","南北","中层(共19层)","1","1","1","1","1","1","1","1","1","1","5号线","4","2","1"
"137","武汉","江汉","唐家墩","万达广场住宅小区","4000","整租","普通住宅","2室2厅1卫","90.8","精装修","朝南","低层(共33层)","1","1","1","1","1","1","1","1","1","0","2/3/6号线","2","1","2"
"138","武汉","洪山","珞瑜东路","成园小区","1500","整租","普通住宅","1室1厅1卫","48","精装修","朝南","低层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","1","1","1"
"139","武汉","江汉","汉口火车站","福星惠誉福星城(北区)","760","合租","普通住宅","3室1厅1卫","15","精装修","朝南","低层(共15层)","1","1","0","1","1","1","1","1","0","1","2号线","3","1","1"
"140","武汉","洪山","光谷软件园","江南家园谓语城","3100","整租","普通住宅","3室2厅1卫","108.7","精装修","南北","高层(共6层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","2"
"141","武汉","武昌","积玉桥","水岸国际峯岚天下","780","合租","普通住宅","3室1厅1卫","23","精装修","朝南","高层(共42层)","1","1","1","1","1","1","1","1","1","1","5/7号线","3","1","1"
"142","武汉","洪山","新南湖","保利心语(二期)","680","合租","普通住宅","3室1厅2卫","32.2","精装修","朝南","低层(共26层)","1","1","1","1","1","1","1","1","1","1","8号线","3","2","1"
"143","武汉","洪山","光谷东","碧桂园生态城剑桥郡","800","合租","普通住宅","3室2厅2卫","20","精装修","朝南","中层(共18层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2"
