id,city,district,road,community,rentalMethod,houseType,roomType,areaSize,decorateType,ori,rentTimeInfo,floorInfo,hasRefrigerator,hasWashingMachine,hasBalcony,hasCook,hasAirConditioner,hasWaterHeater,hasBed,hasWardrobe,hasSofa,hasWifi,traffic,bedroomNum,bathroomNum,hallsNum,page_views,price
"32","武汉","洪山","光谷软件园","立信公寓","合租","普通住宅","1室1厅1卫","89.2","简单装修","朝南",\N,"中层(共7层)","1","1","1","1","1","1","1","1","1","1",\N,"1","1","1","68634","1000"
"33","武汉","洪山","关山","丽岛漫城","合租","普通住宅","4室1厅2卫","15","精装修","朝南",\N,"低层(共16层)","1","1","1","1","1","1","1","1","1","1",\N,"4","2","1","86052","700"
"34","武汉","武昌","南湖花园","景虹花园(二期)","合租","普通住宅","3室1厅2卫","20.5","精装修","朝南",\N,"低层(共22层)","1","1","1","1","1","1","1","1","1","1","7号线","3","2","1","48362","600"
"35","武汉","洪山","关山","琨瑜府(三期)","整租","普通住宅","3室2厅2卫","105","精装修","朝南",\N,"中层(共58层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","2","82450","4500"
"36","武汉","洪山","白沙洲","胜利丰园","整租","普通住宅","2室1厅1卫","88","精装修","朝南",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1","5号线","2","1","1","74249","1800"
"37","武汉","洪山","光谷软件园","光谷坐标城","整租","其他","3室2厅1卫","108.9","简单装修","朝南",\N,"中层(共8层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","2","39732","3200"
"38","武汉","洪山","关山","保利时代(北区)","整租","普通住宅","3室2厅2卫","119.1","精装修","南北",\N,"低层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2","31091","3300"
"39","武汉","洪山","新南湖","保利公园九里(1-4期)","整租","普通住宅","2室1厅1卫","79","精装修","朝南",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1","7号线","2","1","1","34626","2500"
"40","武汉","洪山","白沙洲","烽火馨德紫园","合租","普通住宅","2室1厅1卫","18.7","精装修","朝南",\N,"低层(共27层)","1","1","1","1","1","1","1","1","1","1","5号线","2","1","1","79403","550"
"41","武汉","洪山","关山","光谷青年城(一期)","整租","普通住宅","1室0厅1卫","45","精装修","南北",\N,"中层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"1","1","0","35903","1500"
"42","武汉","洪山","鲁巷","华科大康园教师住宅小区","合租","普通住宅","2室1厅1卫","20","精装修","朝南",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","2","1","1","6838","700"
"43","武汉","洪山","光谷软件园","金地格林东郡","整租","普通住宅","2室1厅1卫","70","精装修","朝南",\N,"中层(共36层)","0","0","0","0","0","0","0","0","0","0",\N,"2","1","1","883","2600"
"44","武汉","武昌","中南路","凯乐花园","合租","普通住宅","2室1厅1卫","28","精装修","朝南",\N,"高层(共22层)","1","1","1","1","1","1","1","1","1","1","2/4/7号线","2","1","1","3294","799"
"45","武汉","洪山","白沙洲","喜瑞都","整租","普通住宅","3室2厅1卫","153.6","精装修","朝南",\N,"低层(共34层)","1","1","1","1","1","1","1","1","1","1","5号线","3","1","2","71869","2400"
"46","武汉","沌口开发区","金色港湾","金色港湾(蔡甸)","合租","普通住宅","3室1厅2卫","25","精装修","朝南",\N,"低层(共6层)","1","1","1","1","1","1","1","1","1","1","3号线","3","2","1","88588","650"
"47","武汉","洪山","白沙洲","天地源城际花园(东区)","合租","普通住宅","3室1厅1卫","20","精装修","朝南",\N,"高层(共11层)","1","1","1","1","1","1","1","1","0","1",\N,"3","1","1","81983","820"
"48","武汉","洪山","光谷东","国采光立方","合租","普通住宅","3室1厅1卫","12","精装修","朝南",\N,"中层(共17层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","1","11770","930"
"49","武汉","洪山","白沙洲","毛坦港湾(B区)","合租","普通住宅","3室1厅2卫","18","精装修","朝南",\N,"低层(共31层)","1","1","1","1","1","1","1","1","1","1","5号线","3","2","1","98588","850"
"50","武汉","硚口","硚口周边","华润翡翠城(二期)","合租","普通住宅","3室1厅1卫","16","精装修","朝南",\N,"高层(共52层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","1","64560","660"
"51","武汉","洪山","光谷软件园","万科城花璟苑","整租","普通住宅","1室1厅1卫","40","精装修","朝南",\N,"中层(共32层)","1","1","1","1","1","1","1","1","1","1",\N,"1","1","1","23622","2100"
"52","武汉","洪山","新南湖","珞珈雅苑","合租","普通住宅","3室2厅2卫","26","精装修","朝南",\N,"低层(共18层)","1","1","1","1","1","1","1","1","1","1","8号线","3","2","2","99412","500"
"53","武汉","江夏","金融港","谷尚居","整租","普通住宅","3室2厅2卫","99","精装修","南北",\N,"低层(共18层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","2","91739","2450"
"54","武汉","洪山","新南湖","金地圣爱米伦","合租","普通住宅","2室1厅1卫","25.3","精装修","朝南",\N,"低层(共12层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","1","45958","600"
"55","武汉","洪山","光谷软件园","江南家园谓语城","整租","普通住宅","3室2厅1卫","108.7","精装修","南北",\N,"高层(共6层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","2","18527","3000"
"56","武汉","洪山","鲁巷","华科大康园教师住宅小区","整租","普通住宅","2室1厅1卫","88","精装修","朝南",\N,"高层(共31层)","1","1","1","1","1","1","1","1","1","1","2号线","2","1","1","72751","2800"
"57","武汉","洪山","光谷东","新城璞樾门第","整租","普通住宅","3室2厅2卫","108.6","精装修","南北",\N,"高层(共32层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2","38321","2800"
"58","武汉","洪山","光谷软件园","光谷理想城","整租","普通住宅","2室1厅1卫","80","精装修","南北",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","2","1","1","27890","2650"
"59","武汉","洪山","关山","花城家园棠园","整租","普通住宅","2室1厅1卫","80","精装修","南北",\N,"高层(共18层)","1","1","1","1","1","1","1","1","1","0",\N,"2","1","1","71944","1500"
"60","武汉","洪山","白沙洲","毛坦港湾A区","整租","普通住宅","2室2厅1卫","91","精装修","南北",\N,"中层(共34层)","1","1","1","1","1","1","1","1","1","0","5号线","2","1","2","10057","1700"
"61","武汉","洪山","新南湖","红旗欣居B区","合租","普通住宅","3室2厅1卫","25","精装修","朝南",\N,"低层(共15层)","1","1","1","1","1","1","1","1","1","1","7号线","3","1","2","93065","750"
"62","武汉","武昌","中北路","天源城","合租","普通住宅","4室1厅3卫","28","精装修","朝南",\N,"高层(共11层)","1","1","1","1","1","1","1","1","1","1","4/8号线","4","3","1","7689","1200"
"63","武汉","洪山","珞狮南路","大华南湖公园世家中区","整租","普通住宅","3室1厅2卫","133","精装修","朝南",\N,"低层(共20层)","1","1","1","1","1","1","1","1","1","1","8号线","3","2","1","33625","2800"
"64","武汉","江岸","百步亭","汉悦府坤璟","合租","公寓","3室2厅1卫","16","精装修","朝南",\N,"低层(共33层)","1","1","1","1","1","1","1","1","1","1","3/阳逻号线","3","1","2","99016","830"
"65","武汉","洪山","光谷软件园","万科城花璟苑","整租","普通住宅","1室1厅1卫","40","精装修","朝南",\N,"中层(共32层)","1","1","1","1","1","1","1","1","1","1",\N,"1","1","1","26238","2100"
"66","武汉","洪山","新南湖","明泽丰华苑(21-26栋)","合租","其他","3室2厅2卫","28","精装修","朝南",\N,"高层(共26层)","1","1","1","1","1","1","1","1","1","1","8号线","3","2","2","19810","550"
"67","武汉","洪山","光谷东","光谷188国际社区","整租","普通住宅","3室2厅2卫","134.6","精装修","朝南",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1","11号线","3","2","2","18347","2900"
"68","武汉","洪山","新南湖","珞珈雅苑","合租","普通住宅","3室2厅2卫","26","精装修","朝南",\N,"低层(共18层)","1","1","1","1","1","1","1","1","1","1","8号线","3","2","2","82650","500"
"69","武汉","洪山","关山","保利时代(南区)","整租","普通住宅","2室2厅1卫","71","精装修","南北",\N,"中层(共32层)","1","1","1","1","1","1","1","1","1","0",\N,"2","1","2","79766","3500"
"70","武汉","洪山","新南湖","明泽丰华苑(7-14栋)","整租","普通住宅","1室1厅1卫","65","精装修","南北",\N,"中层(共28层)","1","1","1","1","1","1","1","1","1","0","8号线","1","1","1","14552","1400"
"71","武汉","洪山","关山","世界城香榭丽舍","整租","普通住宅","3室2厅1卫","114","精装修","朝南",\N,"中层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","1","2","33922","3100"
"72","武汉","洪山","珞狮南路","南湖狮山美庐","合租","普通住宅","3室2厅2卫","28","精装修","朝南",\N,"中层(共28层)","1","1","1","1","1","1","1","1","1","1","8号线","3","2","2","75884","500"
"73","武汉","洪山","铁机路","东沙花园(北区)","合租","普通住宅","3室1厅1卫","25","精装修","朝南",\N,"高层(共35层)","1","1","1","1","1","1","1","1","1","1","4号线","3","1","1","72242","640"
"74","武汉","洪山","光谷软件园","光谷理想城","整租","普通住宅","2室1厅1卫","80","精装修","南北",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","2","1","1","29064","2650"
"75","武汉","洪山","关山","泛悦城","合租","普通住宅","3室1厅2卫","20","豪华装修","朝南",\N,"低层(共23层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","1","10775","900"
"76","武汉","洪山","卓刀泉","名都花园","合租","普通住宅","3室2厅2卫","15","精装修","朝南",\N,"中层(共16层)","0","0","1","0","1","0","1","1","0","0","2号线","3","2","2","50513","750"
"77","武汉","洪山","珞狮南路","金地格林小城美茵区","合租","普通住宅","1室1厅1卫","25","精装修","南北",\N,"中层(共6层)","1","1","1","1","1","1","1","1","1","1","8号线","1","1","1","44921","500"
"78","武汉","洪山","光谷软件园","中建大公馆","整租","普通住宅","3室2厅1卫","80","精装修","朝南",\N,"低层(共47层)","0","0","0","0","0","0","0","0","0","0",\N,"3","1","2","73364","3200"
"79","武汉","江岸","后湖","美联城仕","合租","普通住宅","3室1厅1卫","18","精装修","朝南",\N,"中层(共32层)","1","1","1","1","1","1","1","1","1","1","8号线","3","1","1","80368","990"
"80","武汉","汉阳","四新","四新天祥广场","整租","普通住宅","1室1厅1卫","97.4","精装修","朝南",\N,"中层(共35层)","1","1","1","1","1","1","1","1","1","1",\N,"1","1","1","24639","1500"
"81","武汉","洪山","光谷软件园","关南社区","整租","普通住宅","2室1厅1卫","80","精装修","南北",\N,"低层(共6层)","1","1","0","1","1","1","1","1","0","0","2/11号线","2","1","1","20711","2450"
"82","武汉","江岸","后湖","塔子湖锦绣家园幽兰苑","合租","普通住宅","3室1厅2卫","14","精装修","朝南",\N,"低层(共31层)","0","0","0","0","1","1","1","0","0","0","8号线","3","2","1","81598","1060"
"83","武汉","洪山","关山","花城家园樱园","整租","普通住宅","3室2厅1卫","100","精装修","朝南",\N,"中层(共18层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","2","81141","1500"
"84","武汉","洪山","光谷软件园","光谷坐标城","整租","普通住宅","3室2厅2卫","108","精装修","朝南",\N,"中层(共31层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2","34161","3200"
"85","武汉","洪山","铁机路","东湖景园A区","合租","普通住宅","4室1厅1卫","25","精装修","朝南",\N,"高层(共34层)","1","1","1","1","1","1","1","1","1","1","4号线","4","1","1","55980","600"
"86","武汉","洪山","珞瑜东路","成园小区","整租","其他","1室1厅1卫","50","精装修","朝南",\N,"低层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","1","1","1","59278","1450"
"87","武汉","汉阳","王家湾","磨山港湾2期","整租","其他","1室1厅1卫","50","精装修","朝南",\N,"中层(共38层)","1","1","1","1","1","1","1","1","1","1","3/4号线","1","1","1","80043","1400"
"88","武汉","洪山","光谷东","新城璞樾门第","整租","普通住宅","3室2厅2卫","109","简单装修","朝南",\N,"低层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2","8556","2500"
"89","武汉","武昌","丁字桥","百瑞景中央生活区(六期)","合租","普通住宅","3室1厅1卫","20","精装修","朝南",\N,"高层(共34层)","1","1","1","1","1","1","1","1","1","1","2号线","3","1","1","1099","850"
"90","武汉","洪山","新南湖","保利心语(一期)","合租","普通住宅","2室1厅1卫","24","精装修","朝南",\N,"低层(共22层)","1","1","1","1","1","1","1","1","1","1","8号线","2","1","1","90973","600"
"91","武汉","洪山","光谷软件园","光谷理想城","合租","普通住宅","3室0厅2卫","20","精装修","朝南",\N,"中层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","0","85399","700"
"92","武汉","江夏","东湖高新","天纵水晶郦都","整租","普通住宅","1室1厅1卫","40","精装修","朝南",\N,"低层(共20层)","1","1","1","1","1","1","1","1","1","1","2号线","1","1","1","20901","1800"
"93","武汉","洪山","光谷软件园","曙光星城B区","整租","普通住宅","2室2厅1卫","80","精装修","朝南",\N,"低层(共32层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","2","49761","2300"
"94","武汉","江夏","流芳","中建东湖锦城","整租","普通住宅","3室1厅1卫","81.3","精装修","朝南",\N,"高层(共34层)","0","0","0","0","0","0","0","0","0","0",\N,"3","1","1","59722","2700"
"95","武汉","江夏","东湖高新","达尚城","合租","普通住宅","3室2厅1卫","15","精装修","朝南",\N,"中层(共33层)","1","1","0","1","0","1","1","1","1","1",\N,"3","1","2","92532","600"
"96","武汉","洪山","白沙洲","毛坦港湾A区","合租","普通住宅","3室2厅2卫","23","精装修","朝南",\N,"中层(共32层)","1","1","1","1","1","1","1","1","1","1","5号线","3","2","2","33018","660"
"97","武汉","江岸","后湖","汉口花园淡莲轩","合租","普通住宅","3室1厅1卫","15","精装修","朝南",\N,"低层(共18层)","1","1","1","1","1","1","1","1","1","1","6/8号线","3","1","1","49440","680"
"98","武汉","洪山","欢乐谷","铁机新居","合租","普通住宅","3室1厅1卫","22","精装修","朝南",\N,"低层(共30层)","1","1","1","1","1","1","1","1","1","1",\N,"3","1","1","69373","699"
"99","武汉","洪山","光谷广场","加州阳光","合租","普通住宅","3室1厅2卫","23","精装修","朝南",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","1","47418","500"
"100","武汉","洪山","白沙洲","毛坦港湾A区","合租","普通住宅","3室2厅2卫","23","精装修","朝南",\N,"中层(共32层)","1","1","1","1","1","1","1","1","1","1","5号线","3","2","2","10575","660"
"101","武汉","洪山","光谷软件园","光谷理想城","合租","普通住宅","3室0厅2卫","20","精装修","朝南",\N,"中层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","0","65717","700"
"102","武汉","洪山","铁机路","东沙花园(南区)","合租","普通住宅","2室1厅1卫","25","精装修","朝南",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1","4/8号线","2","1","1","54144","500"
"103","武汉","洪山","欢乐谷","铁机新居","整租","普通住宅","2室1厅1卫","86","精装修","南北",\N,"中层(共28层)","1","1","1","1","1","1","1","1","1","0",\N,"2","1","1","35634","1500"
"104","武汉","江夏","东湖高新","天纵水晶郦都","整租","普通住宅","1室1厅1卫","40","精装修","朝南",\N,"低层(共20层)","1","1","1","1","1","1","1","1","1","1","2号线","1","1","1","40130","1800"
"105","武汉","江汉","前进/江汉","江城华庭","合租","普通住宅","3室1厅2卫","21.2","精装修","南北",\N,"中层(共56层)","1","1","1","1","1","1","1","1","1","1","1/2/6号线","3","2","1","41778","600"
"106","武汉","洪山","光谷广场","光谷青年城(二期)","整租","普通住宅","2室2厅1卫","85","精装修","朝南",\N,"高层(共50层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","2","5861","2700"
"107","武汉","江汉","前进/江汉","都会轩","合租","普通住宅","3室1厅2卫","20","精装修","朝南",\N,"低层(共30层)","1","1","1","1","1","1","1","1","1","1","1/2/6号线","3","2","1","3950","900"
"108","武汉","江夏","纸坊","富丽金澜湾","合租","普通住宅","3室1厅2卫","20","精装修","朝南",\N,"低层(共15层)","1","1","0","1","1","1","1","1","0","1",\N,"3","2","1","40379","690"
"109","武汉","硚口","古田","永利新城北苑","合租","其他","4室1厅2卫","16","精装修","朝南",\N,"低层(共32层)","1","1","1","1","1","1","1","1","1","1","1号线","4","2","1","71022","600"
"110","武汉","洪山","关山","金地阳光城(北苑)","合租","普通住宅","2室1厅1卫","25","精装修","朝南",\N,"高层(共7层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","1","48681","1100"
"111","武汉","洪山","光谷软件园","山水华庭一期","合租","普通住宅","4室1厅2卫","21","精装修","南北",\N,"中层(共12层)","1","1","1","1","1","1","1","1","1","1",\N,"4","2","1","140","700"
"112","武汉","江汉","前进/江汉","富安公寓","合租","普通住宅","3室1厅2卫","19.8","精装修","朝南",\N,"高层(共15层)","1","1","1","1","1","1","1","1","1","1","1/2/6号线","3","2","1","23200","800"
"113","武汉","武昌","团结大道","福星惠誉国际城三期K4","合租","普通住宅","3室1厅1卫","16","精装修","朝南",\N,"中层(共45层)","1","1","0","1","1","1","1","1","0","1","8号线","3","1","1","5522","1190"
"114","武汉","洪山","光谷东","绿地国际理想城(五期)","整租","普通住宅","2室1厅1卫","70","精装修","朝南",\N,"中层(共29层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","1","43511","1650"
"115","武汉","洪山","白沙洲","云隐城青","整租","普通住宅","2室2厅1卫","88","精装修","南北",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","0","5号线","2","1","2","72932","1550"
"116","武汉","东西湖","吴家山","莲花湖小区1期","合租","普通住宅","4室1厅2卫","22","精装修","朝南",\N,"中层(共8层)","1","1","1","1","1","1","1","1","1","1",\N,"4","2","1","26625","850"
"117","武汉","洪山","光谷广场","米兰映象","合租","普通住宅","3室1厅2卫","27","精装修","南北",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","1","55963","700"
"118","武汉","汉阳","七里庙","汉桥城中花园A区","整租","普通住宅","2室1厅2卫","89","精装修","朝南",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1","4号线","2","2","1","9924","1800"
"119","武汉","洪山","新南湖","保利公园九里(5期)","整租","普通住宅","3室2厅1卫","102.9","精装修","南北",\N,"中层(共33层)","1","1","1","1","1","1","1","1","1","1","7号线","3","1","2","8489","3000"
"120","武汉","洪山","光谷软件园","曙光星城B区","合租","普通住宅","2室2厅1卫","20","精装修","朝南",\N,"中层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","2","11504","700"
"121","武汉","洪山","关山","泛悦城","整租","普通住宅","3室2厅2卫","140.6","精装修","朝南",\N,"中层(共58层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","2","99761","5000"
"122","武汉","江岸","二七路","金岛御璟世家(一期)","合租","普通住宅","3室2厅1卫","15","精装修","朝南",\N,"高层(共33层)","1","1","0","1","1","1","1","1","1","1","3/8号线","3","1","2","12073","830"
"123","武汉","洪山","铁机路","铁机盛世家园","合租","普通住宅","3室1厅2卫","25","精装修","朝南",\N,"中层(共28层)","1","1","0","1","0","1","0","0","1","1","4号线","3","2","1","92417","700"
"124","武汉","洪山","新南湖","南湖名都B区","合租","普通住宅","3室1厅2卫","30","精装修","朝南",\N,"中层(共28层)","1","1","1","1","1","1","1","1","1","1","7号线","3","2","1","86338","500"
"125","武汉","洪山","铁机路","徐东馨苑","合租","其他","3室1厅2卫","23","精装修","朝南",\N,"高层(共32层)","1","1","1","1","1","1","1","1","0","0","5/8号线","3","2","1","3174","500"
"126","武汉","洪山","广埠屯","银海雅苑","整租","普通住宅","2室1厅1卫","79","精装修","朝南",\N,"低层(共8层)","1","1","1","1","1","1","1","1","1","1","2/8号线","2","1","1","66884","2800"
"127","武汉","武昌","武昌火车站","大东门农行宿舍","整租","普通住宅","1室1厅1卫","50","精装修","南北",\N,"高层(共8层)","1","1","1","1","1","1","1","1","1","1","4/7号线","1","1","1","77022","1700"
"128","武汉","洪山","关西","金地天悦睿府","整租","普通住宅","2室1厅1卫","82.6","精装修","朝南",\N,"中层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"2","1","1","701","2600"
"129","武汉","江汉","杨汊湖","江汉人家","合租","普通住宅","3室1厅1卫","15","精装修","朝南",\N,"中层(共32层)","1","1","1","1","1","1","1","1","1","1","6号线","3","1","1","80544","830"
"130","武汉","黄陂","盘龙城","F、空港中心城","合租","普通住宅","4室1厅2卫","17","精装修","朝南",\N,"低层(共22层)","1","1","1","1","1","1","1","1","1","1","2/7号线","4","2","1","97794","400"
"131","武汉","洪山","光谷广场","米兰映象","合租","普通住宅","3室2厅2卫","18","精装修","朝南",\N,"低层(共33层)","1","1","1","1","1","1","1","1","1","1","2号线","3","2","2","2361","700"
"132","武汉","武昌","徐东","徐东城市广场","整租","普通住宅","2室1厅1卫","90","精装修","朝南",\N,"中层(共32层)","1","1","1","1","1","1","1","1","1","1","5/8号线","2","1","1","26595","2200"
"133","武汉","洪山","光谷软件园","锦绣龙城(F区)","整租","普通住宅","3室2厅2卫","118.5","精装修","朝南",\N,"高层(共33层)","1","1","1","1","1","1","1","1","1","1",\N,"3","2","2","59213","2700"
"134","武汉","洪山","铁机路","武丰佳园(一期)","整租","普通住宅","4室1厅2卫","138","精装修","朝南",\N,"低层(共21层)","1","1","1","1","1","1","1","1","1","1","4号线","4","2","1","75332","3000"
